ID,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
10752,Resort Hotel,1,63,2017,April,13,1,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,48.0,0,1,Canceled,2017-03-10
10753,Resort Hotel,1,94,2017,April,13,1,2,3,3,1.0,0,HB,BEL,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240.0,,0,Transient,176.4,0,0,Canceled,2017-02-10
10754,Resort Hotel,1,35,2017,April,13,1,2,4,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,70.0,0,1,Canceled,2017-02-27
10755,Resort Hotel,1,48,2017,April,13,1,2,5,2,0.0,0,BB,GBR,Direct,Direct,0,0,0,D,D,0,No Deposit,250.0,,0,Transient,70.0,0,0,Canceled,2017-03-13
10756,Resort Hotel,1,69,2017,April,13,1,2,5,2,2.0,0,BB,DEU,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,129.57,0,0,Canceled,2017-01-22
10757,Resort Hotel,1,177,2017,April,13,1,2,5,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,71.57,0,0,Canceled,2016-10-06
10758,Resort Hotel,1,174,2017,April,13,1,2,5,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,56.57,0,2,Canceled,2016-10-11
10759,Resort Hotel,1,57,2017,April,13,1,2,6,2,0.0,0,HB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,93.88,0,1,Canceled,2017-02-06
10760,Resort Hotel,1,2,2017,April,14,2,1,0,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,184.0,,0,Transient,77.0,0,0,No-Show,2017-04-02
10761,Resort Hotel,1,82,2017,April,14,2,2,1,2,0.0,0,HB,DEU,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,108.0,0,0,Canceled,2017-01-12
10762,Resort Hotel,1,117,2017,April,14,2,2,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,63.0,0,1,Canceled,2017-02-23
